Group Enrollment Form: County,Program Address,Program City,Program Name ,Program: Location,Group Enrollment Form: Number
Ogle,,,,Mary Morgan Elementary School,4839
Ogle,,,,Mary Morgan Elementary School,4840
Ogle,,,,Mary Morgan Elementary School,5080
Ogle,,,,Monroe Center Elementary School,5092
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10650
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10803
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10855
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10903
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10938
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11033
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11113
Ogle,,,,"1200 Jefferson St, Oregon, IL 61061",10696
Ogle,,,,"420 N Colfax St, Byron, IL 61010",10924
Ogle,,,,"444 N 8th Street, Rochelle, IL 61068, Rochelle, IL 61068",6760
Ogle,,,,"444 N 8th Street, Rochelle, IL 61068, Rochelle, IL 61068",7319
Ogle,,,,Central Elementary,4966
Ogle,,,,Central Elementary,4967
Ogle,,,,Central Elementary,5162
Ogle,,,,Central School,4269
Ogle,,,,Central School,4270
Ogle,,,,Central School,4339
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7220
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7221
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7222
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7223
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7228
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7229
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7230
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7231
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10652
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10805
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10858
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10905
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10941
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11035
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11115
Ogle,,,,"1200 Jefferson St, Oregon, IL 61061",10698
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7263
Ogle,,,,Monroe Center School,2399
Ogle,,,,Monroe Center School,2400
Ogle,,,,Oregon Elementary School,4930
Ogle,,,,Oregon Elementary School,4931
Ogle,,,,Oregon Elementary School,4932
Ogle,,,,Oregon Elementary School,4938
Ogle,,,,Oregon Elementary School,4939
Ogle,,,,Oregon Elementary School,4940
Ogle,,,,Oregon Elementary School,5130
Ogle,,,,Oregon Elementary School,5131
Ogle,,,,Oregon Elementary School,5134
Ogle,,,,Oregon Elementary School,5135
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10649
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10802
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10854
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10902
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10937
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11031
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11112
Ogle,,,,"1200 Jefferson St, Oregon, IL 61061",10695
Ogle,,,,Oregon Elementary School,2579
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",7183
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",7184
Ogle,,,,German Valley Grade School,2023
Ogle,,,,German Valley Grade School,2024
Ogle,,,,German Valley Grade School,2025
Ogle,,,,German Valley Grade School,2026
Ogle,,,,May School,2386
Ogle,,,,May School,2387
Ogle,,,,May School,2388
Ogle,,,,May School,2389
Ogle,,,,"420 N Colfax St, Byron, IL 61010",7246
Ogle,,,,"420 N Colfax St, Byron, IL 61010",11137
Ogle,,,,Oregon Elementary School,2498
Ogle,,,,Oregon Elementary School,2499
Ogle,,,,Oregon Elementary School,2500
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10646
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10880
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10885
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11161
Ogle,,,,"401 1st Ave, Forreston, IL 61030",6773
Ogle,,,,"401 1st Ave, Forreston, IL 61030",6774
Ogle,,,,"401 1st Ave, Forreston, IL 61030",7307
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10504
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10588
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10616
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10673
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10793
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10894
Ogle,,,,"401 1st Ave, Forreston, IL 61030",11046
Ogle,,,,"401 1st Ave, Forreston, IL 61030",11124
Ogle,,,,"601 E Main St, Forreston, IL 61030",10737
Ogle,,,,"601 E Main St, Forreston, IL 61030",10738
Ogle,,,,Forreston Grade School,4284
Ogle,,,,Forreston Grade School,4285
Ogle,,,,Forreston Grade School,4344
Ogle,,,,Forreston Grade School,4990
Ogle,,,,Forreston Grade School,4991
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",7178
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10645
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10879
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10884
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11159
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11667
Ogle,,,,Mary Morgan Elementary School,2345
Ogle,,,,Mary Morgan Elementary School,2347
Ogle,,,,Mary Morgan Elementary School,2348
Ogle,,,,May School,4850
Ogle,,,,May School,4851
Ogle,,,,May School,5083
Ogle,,,,May School,5084
Ogle,,,,Tilton School,1347
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",11301
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",11302
Ogle,,,,"420 N Colfax St, Byron, IL 61010",7177
Ogle,,,,Highland Elementary,2119
Ogle,,,,Highland Elementary,2120
Ogle,,,,Highland Elementary,2121
Ogle,,,,Highland Elementary,2123
Ogle,,,,Highland Elementary,2124
Ogle,,,,Highland Elementary,2125
Ogle,,,,Highland Elementary,2126
Ogle,,,,Highland Elementary,2128
Ogle,,,,Highland Elementary,2129
Ogle,,,,Highland Elementary,2130
Ogle,,,,Highland Elementary,2131
Ogle,,,,Highland Elementary,2133
Ogle,,,,Highland Elementary,2134
Ogle,,,,Mary Morgan Elementary School,2355
Ogle,,,,Mary Morgan Elementary School,2356
Ogle,,,,Mary Morgan Elementary School,2357
Ogle,,,,Mary Morgan Elementary School,4846
Ogle,,,,Mary Morgan Elementary School,4847
Ogle,,,,Mary Morgan Elementary School,4848
Ogle,,,,Mary Morgan Elementary School,5082
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7216
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7217
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7218
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7219
Ogle,,,,"1450 20th St, Rochelle, IL 61068",7166
Ogle,,,,"1450 20th St, Rochelle, IL 61068",7321
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7265
Ogle,,,,"420 N Colfax St, Byron, IL 61010",10925
Ogle,,,,German Valley Grade School,1997
Ogle,,,,German Valley Grade School,1998
Ogle,,,,German Valley Grade School,1999
Ogle,,,,Oregon Elementary School,4922
Ogle,,,,Oregon Elementary School,4923
Ogle,,,,Oregon Elementary School,4924
Ogle,,,,Oregon Elementary School,5128
Ogle,,,,Oregon Elementary School,5129
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7148
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7149
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7150
Ogle,,,,Highland Elementary,4728
Ogle,,,,Highland Elementary,4729
Ogle,,,,Highland Elementary,4730
Ogle,,,,Highland Elementary,4731
Ogle,,,,Highland Elementary,4732
Ogle,,,,Highland Elementary,4733
Ogle,,,,Highland Elementary,4734
Ogle,,,,Highland Elementary,5063
Ogle,,,,Highland Elementary,5064
Ogle,,,,Monroe Center School,2412
Ogle,,,,Monroe Center School,2414
Ogle,,,,Monroe Center School,2415
Ogle,,,,Monroe Center School,2416
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10644
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10878
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10882
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11158
Ogle,,,,"401 1st Ave, Forreston, IL 61030",6775
Ogle,,,,"401 1st Ave, Forreston, IL 61030",6776
Ogle,,,,"401 1st Ave, Forreston, IL 61030",7308
Ogle,,,,"401 1st Ave, Forreston, IL 61030",9376
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10505
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10589
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10617
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10674
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10795
Ogle,,,,"401 1st Ave, Forreston, IL 61030",10895
Ogle,,,,"401 1st Ave, Forreston, IL 61030",11047
Ogle,,,,"401 1st Ave, Forreston, IL 61030",11125
Ogle,,,,"601 E Main St, Forreston, IL 61030",10739
Ogle,,,,Forreston Grade School,4286
Ogle,,,,Forreston Grade School,4287
Ogle,,,,Forreston Grade School,4345
Ogle,,,,Forreston Grade School,4992
Ogle,,,,Forreston Grade School,4993
Ogle,,,,Lincoln School,2312
Ogle,,,,Lincoln School,2313
Ogle,,,,Lincoln School,2314
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11665
Ogle,,,,"202 W South St, Creston, IL 60113",6761
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10760
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10876
Ogle,,,,"1200 Jefferson St, Oregon, IL 61061",10727
Ogle,,,,"420 N Colfax St, Byron, IL 61010",7176
Ogle,,,,Highland Elementary,2072
Ogle,,,,Highland Elementary,2073
Ogle,,,,Highland Elementary,2074
Ogle,,,,Highland Elementary,2077
Ogle,,,,Highland Elementary,2078
Ogle,,,,Highland Elementary,2079
Ogle,,,,Highland Elementary,2080
Ogle,,,,Highland Elementary,2081
Ogle,,,,Highland Elementary,2082
Ogle,,,,Highland Elementary,2083
Ogle,,,,Highland Elementary,2084
Ogle,,,,Highland Elementary,2085
Ogle,,,,Mary Morgan Elementary School,4842
Ogle,,,,Mary Morgan Elementary School,4843
Ogle,,,,Mary Morgan Elementary School,4844
Ogle,,,,Mary Morgan Elementary School,5081
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7224
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7225
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7226
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7227
Ogle,,,,Oregon Elementary School,4934
Ogle,,,,Oregon Elementary School,4935
Ogle,,,,Oregon Elementary School,4936
Ogle,,,,Oregon Elementary School,5132
Ogle,,,,Oregon Elementary School,5133
Ogle,,,,Tilton School,1344
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7144
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7146
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7147
Ogle,,,,Highland Elementary,4720
Ogle,,,,Highland Elementary,4721
Ogle,,,,Highland Elementary,4722
Ogle,,,,Highland Elementary,4723
Ogle,,,,Highland Elementary,4724
Ogle,,,,Highland Elementary,4725
Ogle,,,,Highland Elementary,4726
Ogle,,,,Highland Elementary,5061
Ogle,,,,Highland Elementary,5062
Ogle,,,,Monroe Center School,2401
Ogle,,,,Monroe Center School,2402
Ogle,,,,Monroe Center School,2404
Ogle,,,,Monroe Center School,2405
Ogle,,,,Monroe Center School,2410
Ogle,,,,Monroe Center School,2411
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7141
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7142
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7143
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7266
Ogle,,,,Highland Elementary,4713
Ogle,,,,Highland Elementary,4714
Ogle,,,,Highland Elementary,4715
Ogle,,,,Highland Elementary,4716
Ogle,,,,Highland Elementary,4717
Ogle,,,,Highland Elementary,4718
Ogle,,,,Highland Elementary,5058
Ogle,,,,Highland Elementary,5060
Ogle,,,,Oregon Elementary School,2532
Ogle,,,,Oregon Elementary School,2533
Ogle,,,,Oregon Elementary School,2535
Ogle,,,,Oregon Elementary School,2536
Ogle,,,,Oregon Elementary School,2538
Ogle,,,,Oregon Elementary School,2539
Ogle,,,,Mary Morgan Elementary School,2371
Ogle,,,,Mary Morgan Elementary School,2372
Ogle,,,,Mary Morgan Elementary School,2373
Ogle,,,,Mary Morgan Elementary School,2350
Ogle,,,,Mary Morgan Elementary School,2352
Ogle,,,,Mary Morgan Elementary School,2353
Ogle,,,,Oregon Elementary School,2504
Ogle,,,,Oregon Elementary School,2505
Ogle,,,,Oregon Elementary School,2507
Ogle,,,,Oregon Elementary School,2509
Ogle,,,,Oregon Elementary School,2518
Ogle,,,,Oregon Elementary School,2521
Ogle,,,,Oregon Elementary School,2523
Ogle,,,,Oregon Elementary School,2526
Ogle,,,,Oregon Elementary School,2527
Ogle,,,,Oregon Elementary School,2528
Ogle,,,,Oregon Elementary School,2529
Ogle,,,,Oregon Elementary School,2530
Ogle,,,,Oregon Elementary School,2542
Ogle,,,,Oregon Elementary School,2543
Ogle,,,,Oregon Elementary School,2544
Ogle,,,,Oregon Elementary School,2546
Ogle,,,,Oregon Elementary School,2547
Ogle,,,,Oregon Elementary School,2548
Ogle,,,,Oregon Elementary School,2551
Ogle,,,,Oregon Elementary School,2562
Ogle,,,,Oregon Elementary School,2556
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11669
Ogle,,,,Oregon Elementary School,2570
Ogle,,,,Oregon Elementary School,2553
Ogle,,,,Oregon Elementary School,2568
Ogle,,,,German Valley Grade School,2002
Ogle,,,,German Valley Grade School,2003
Ogle,,,,German Valley Grade School,2004
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10647
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10881
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10886
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11163
Ogle,,,,Central School,1893
Ogle,,,,Central School,1894
Ogle,,,,Central School,1895
Ogle,,,,Central School,1896
Ogle,,,,Central School,1897
Ogle,,,,Central School,1898
Ogle,,,,Central School,1899
Ogle,,,,Central School,1900
Ogle,,,,Central School,1901
Ogle,,,,Central School,1902
Ogle,,,,Kings School,1345
Ogle,,,,"100 1st St, Rochelle, IL 61068",9266
Ogle,,,,"100 1st St, Rochelle, IL 61068",9269
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",7233
Ogle,,,,"1450 20th St, Rochelle, IL 61068",11296
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",11282
Ogle,,,,"1440 N Limekiln Rd, Oregon, IL 61061",11303
Ogle,,,,"421 W Pines Rd #10, Oregon, IL 61061",11589
Ogle,,,,German Valley Grade School,2022
Ogle,,,,"304 Main St, Lindenwood, IL 61049",9352
Ogle,,,,"4th, Oregon, IL 61061",11555
Ogle,,,,"421 W Pines Rd #10, Oregon, IL 61061",7342
Ogle,,,,Lincoln Elementary,2774
Ogle,,,,Mt. Morris Library,2608
Ogle,,,,DLR Junior High School,1908
Ogle,,,,Faith United Methodist Church,5118
Ogle,,,,Rochelle Middle School,4218
Ogle,,,,DLR Junior High School,4332
Ogle,,,,"202 South St, Rochelle, IL 61068",9338
Ogle,,,,Rochelle Middle School,3988
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10518
Ogle,,,,Mary Morgan Elementary School,4335
Ogle,,,,Faith Christian School,1279
Ogle,,,,Eswood Elementary,1941
Ogle,,,,Kings School,2257
Ogle,,,,Kings School,2179
Ogle,,,,Kings School,3973
Ogle,,,,Kings School,4757
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",10899
Ogle,,,,"304 Main St, Lindenwood, IL 61049",7797
Ogle,,,,"735 N 2nd St, Rochelle, IL 61068",7351
Ogle,,,,"16486 IL-64, Polo, IL 61064",11305
Ogle,,,,Rochelle Middle School,4210
Ogle,,,,Lincoln Elementary School,4523
Ogle,,,,"420 N Colfax St, Byron, IL 61010",7355
Ogle,,,,"100 1st St, Rochelle, IL 61068",10893
Ogle,,,,"100 1st St, Rochelle, IL 61068",10548
Ogle,,,,Eswood Elementary,4979
Ogle,,,,Lincoln Elementary,2773
Ogle,,,,Rochelle Middle School,4074
Ogle,,,,Kings School,3975
Ogle,,,,Kings School,4750
Ogle,,,,Creston Elementary School,4271
Ogle,,,,Creston School,1907
Ogle,,,,Central Elementary,4211
Ogle,,,,Faith Christian School,1947
Ogle,,,,Oregon Library,2606
Ogle,,,,Kings School,3974
Ogle,,,,Kings School,4754
Ogle,,,,Kings School,2209
Ogle,,,,Mt. Morris Library,2610
Ogle,,,,"7571 S Ridge Rd, Dixon, IL 61021",9340
Ogle,,,,Oregon Library,2624
Ogle,,,,"735 N 2nd St, Rochelle, IL 61068",7340
Ogle,,,,"705 Main St, Leaf River, IL 61047",7337
Ogle,,,,"420 N Colfax St, Byron, IL 61010",11249
Ogle,,,,Central School,1877
Ogle,,,,Eswood Elementary,3859
Ogle,,,,Eswood Elementary,4272
Ogle,,,,Lincoln Elementary,2766
Ogle,,,,Centennial School,1739
Ogle,,,,Oregon Elementary School,4856
Ogle,,,,May Elementary,1301
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",7335
Ogle,,,,Kings School,2307
Ogle,,,,Mt. Morris Library,2603
Ogle,,,,"304 Main St, Lindenwood, IL 61049",7800
Ogle,,,,Kings School,3976
Ogle,,,,Kings School,4744
Ogle,,,,Rochelle Middle School,4581
Ogle,,,,Eswood Elementary,4978
Ogle,,,,German Valley Grade School,2005
Ogle,,,,"302 W Mason St, Polo, IL 61064",11248
Ogle,,,,"302 W Mason St, Polo, IL 61064",11243
Ogle,,,,Oregon Elementary School,4862
Ogle,,,,Forreston Grade School,4224
Ogle,,,,German Valley Grade School,1337
Ogle,,,,Oregon Elementary School,4913
Ogle,,,,Eswood Elementary,1915
Ogle,,,,German Valley Grade School,1335
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",9322
Ogle,,,,Oregon Elementary School,4859
Ogle,,,,May Elementary School,5085
Ogle,,,,German Valley Grade School,1336
Ogle,,,,May Elementary School,5086
Ogle,,,,May School,2385
Ogle,,,,May School,2397
Ogle,,,,"420 N Colfax St, Byron, IL 61010",11240
Ogle,,,,Rochelle Middle School,2581
Ogle,,,,"302 W Mason St, Polo, IL 61064",7353
Ogle,,,,"100 1st St, Rochelle, IL 61068",11261
Ogle,,,,"200 N Rock City Rd, German Valley, IL 61039",9333
Ogle,,,,"200 N Rock City Rd, German Valley, IL 61039",9332
Ogle,,,,"200 N Rock City Rd, German Valley, IL 61039",9331
Ogle,,,,"1834 IL-2, Oregon, IL 61061",7497
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9370
Ogle,,,,Tilton Elementary School,4949
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",9282
Ogle,,,,Centennial School,1799
Ogle,,,,Oregon Elementary School,4865
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",9320
Ogle,,,,Forreston Grade School,4223
Ogle,,,,Forreston Grade School,4222
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",10540
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",10541
Ogle,,,,Centennial School,1796
Ogle,,,,"444 N 8th Street, Rochelle, IL 61068, Rochelle, IL 61068",7272
Ogle,,,,Kings School,2301
Ogle,,,,German Valley Grade School,2010
Ogle,,,,Central Elementary,2772
Ogle,,,,Tilton School,1346
Ogle,,,,Central School,1892
Ogle,,,,"202 South St, Rochelle, IL 61068",10660
Ogle,,,,St. Paul Lutheran,1308
Ogle,,,,Faith Christian School,4279
Ogle,,,,Oregon Park District Preschool,2788
Ogle,,,,May School,1299
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",6750
Ogle,,,,Highland Elementary,4227
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",6757
Ogle,,,,Centennial School,4962
Ogle,,,,Central School,1879
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9368
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9369
Ogle,,,,Centennial School,4963
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",9337
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9371
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",7802
Ogle,,,,Central School,4264
Ogle,,,,"444 N 8th St, Rochelle, IL 61068",10900
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9360
Ogle,,,,"420 N Colfax St, Byron, IL 61010",6734
Ogle,,,,"1200 Jefferson St, Oregon, IL 61061",9357
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",9259
Ogle,,,,"420 N Colfax St, Byron, IL 61010",6737
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9362
Ogle,,,,Oregon Elementary School,2497
Ogle,,,,Forreston Grade School,4221
Ogle,,,,"401 1st Ave, Forreston, IL 61030",9234
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10515
Ogle,,,,Lincoln School,2311
Ogle,,,,German Valley Grade School,2001
Ogle,,,,"105 S McKendrie Ave, Mt Morris, IL 61054",7344
Ogle,,,,German Valley Grade School,4302
Ogle,,,,Highland Elementary,4231
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",9323
Ogle,,,,Forreston Grade School,1952
Ogle,,,,Forreston Grade School,1981
Ogle,,,,"401 1st Ave, Forreston, IL 61030",8656
Ogle,,,,"302 W Mason St, Polo, IL 61064",11246
Ogle,,,,"401 1st Ave, Forreston, IL 61030",8658
Ogle,,,,Oregon Elementary School,2493
Ogle,,,,Centennial School,1863
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",9285
Ogle,,,,Mary Morgan Elementary School,1316
Ogle,,,,"304 Main St, Lindenwood, IL 61049",9324
Ogle,,,,Forreston Grade School,4219
Ogle,,,,Oregon Elementary,1319
Ogle,,,,Tilton Elementary School,2595
Ogle,,,,Mary Morgan Elementary,1314
Ogle,,,,Oregon Elementary School,4918
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",11657
Ogle,,,,"420 N Colfax St, Byron, IL 61010",6736
Ogle,,,,"17500 IL-72, Monroe Center, IL 61052",9301
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9358
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9361
Ogle,,,,"420 N Colfax St, Byron, IL 61010",7809
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9382
Ogle,,,,May School,1348
Ogle,,,,"444 N 8th St, Rochelle, IL 61068",10909
Ogle,,,,Central School,4331
Ogle,,,,"420 N Colfax St, Byron, IL 61010",7812
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9383
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9359
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",11091
Ogle,,,,Oregon Elementary School,4946
Ogle,,,,"401 1st Ave, Forreston, IL 61030",8660
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10517
Ogle,,,,Highland Elementary School,1333
Ogle,,,,Forreston Grade School,4220
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",7325
Ogle,,,,Creston Elementary School,5163
Ogle,,,,Mary Morgan Elementary School,2370
Ogle,,,,Camp Benson in Mount Carroll,3304
Ogle,,,,German Valley Grade School,4305
Ogle,,,,German Valley Grade School,4308
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",9248
Ogle,,,,Centennial School,4226
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",11652
Ogle,,,,Oregon Elementary School,1322
Ogle,,,,Oregon Elementary School,1318
Ogle,,,,Centennial School,4225
Ogle,,,,Highland Elementary,3848
Ogle,,,,Highland Elementary,4387
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",9334
Ogle,,,,Forreston Grade School,1966
Ogle,,,,Tilton Elementary School,2584
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",11656
Ogle,,,,"1033 N 2nd St, Rochelle, IL 61068",7247
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",7803
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",9336
Ogle,,,,Highland Elementary,4230
Ogle,,,,"420 N Colfax St, Byron, IL 61010",6735
Ogle,,,,"420 N Colfax St, Byron, IL 61010",10503
Ogle,,,,"17500 IL-72, Monroe Center, IL 61052",9297
Ogle,,,,Oregon Elementary School,2489
Ogle,,,,May School,2395
Ogle,,,,May School,2390
Ogle,,,,Highland Elementary School,1330
Ogle,,,,"1450 20th St, Rochelle, IL 61068",7163
Ogle,,,,"1450 20th St, Rochelle, IL 61068",11293
Ogle,,,,Central Elementary,1305
Ogle,,,,Mary Morgan Elementary School,1315
Ogle,,,,Mary Morgan Elementary,1312
Ogle,,,,"401 1st Ave, Forreston, IL 61030",9235
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",7804
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",9261
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",10543
Ogle,,,,"444 N 8th Street, Rochelle, IL 61068, Rochelle, IL 61068",7275
Ogle,,,,Oregon Elementary School,4944
Ogle,,,,Byron Gym,2688
Ogle,,,,Mary Morgan Elementary School,4768
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",9313
Ogle,,,,Tilton Elementary School,4952
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10510
Ogle,,,,Mary Morgan Elementary School,2344
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",10516
Ogle,,,,May School,4849
Ogle,,,,Highland Elementary,2071
Ogle,,,,Mary Morgan Elementary School,4841
Ogle,,,,"1200 Jefferson St, Oregon, IL 61061",9339
Ogle,,,,Mary Morgan Elementary School,2349
Ogle,,,,Oregon Elementary School,4947
Ogle,,,,"7571 S Ridge Rd, Dixon, IL 61021",9341
Ogle,,,,"401 1st Ave, Forreston, IL 61030",8657
Ogle,,,,"308 S Pleasant Ave, Polo, IL 61064",9246
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",9321
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",11092
Ogle,,,,"1100 Jefferson St, Oregon, IL 61061",9310
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",11651
Ogle,,,,"410 S Hickory St, Stillman Valley, IL 61084",11654
Ogle,,,,"1450 20th St, Rochelle, IL 61068",9270
Ogle,,,,Oregon Elementary School,2485
Ogle,,,,,7509
Ogle,,,,Lake Carroll Kids Camp,2612
Ogle,,,,Oregon Elementary Scholl,1320
Ogle,,,,"420 N Colfax St, Byron, IL 61010",9384
Ogle,,,,"1050 N 9th St, Rochelle, IL 61068",7323
Ogle,,,,"17500 IL-72, Monroe Center, IL 61052",9307
Ogle,,,,Lincoln Elementary,2776
Ogle,,,,Mary Morgan Elementary School,2326
Ogle,,,,Mary Morgan Elementary School,4803
